0	16.05.2017 22:01:49
100	16.05.2017 22:02:09
0	16.05.2017 22:07:50
0	16.05.2017 22:08:28
0	16.05.2017 22:11:36
0	16.05.2017 22:15:21
0	16.05.2017 22:16:56
0	16.05.2017 22:17:08
0	16.05.2017 22:21:17
0	16.05.2017 22:41:50
0	16.05.2017 22:42:08
0	16.05.2017 22:42:54
400	16.05.2017 22:44:12
300	17.05.2017 22:29:17
0	18.05.2017 12:06:14
0	18.05.2017 12:06:40
0	18.05.2017 12:07:19
0	18.05.2017 12:09:36
500	18.05.2017 12:10:49
800	18.05.2017 12:12:06
0	18.05.2017 12:16:26
800	19.07.2017 18:35:27
0	19.07.2017 18:35:29
0	19.07.2017 18:36:35
0	19.07.2017 18:36:53
600	04.09.2017 21:24:17
200	17.09.2017 10:52:45
0	17.09.2017 10:52:46
0	17.09.2017 10:56:16
